oak_x,oak_y,oak_z,ir_x,ir_y,oak_observed_at_s,thermal_observed_at_s,sensor_skew_s
0.4214620292186737,0.08448918163776398,0.38,76.5,32.25,22171.183590915,22171.283873307,0.10028239199891686
0.42893439531326294,0.06768129765987396,0.38,74.25,34.5,22178.704830509,22178.806260339,0.10142982999968808
0.3126905560493469,0.12011770904064178,0.415,64.0,37.75,22251.075172271,22251.175688488,0.10051621700040414
0.37214940786361694,0.19182175397872925,0.225,66.75,38.5,22377.914448374,22377.906950388,0.0074979860000894405
0.3711317479610443,0.15134383738040924,0.7135,70.25,42.75,22681.121781577,22681.11622654,0.005555036997975549
0.10230139642953873,0.16504956781864166,0.398,41.5,43.25,22702.777717927,22702.770056367,0.0076615600009972695
0.6195880174636841,0.08366593718528748,0.446,96.25,35.5,22711.552630998,22711.545313592,0.007317406001675408
0.47142714262008667,0.05835255980491638,0.294,77.25,28.25,22717.25073682,22717.24382231,0.006914509998750873
0.16552868485450745,0.11463159322738647,0.286,48.75,34.5,22728.304273975,22728.298407928,0.005866047002200503
0.4001670777797699,0.08823326230049133,0.2215,73.25,28.25,22745.286526001,22745.279225214,0.007300787001440767
0.29078540205955505,0.3157370090484619,0.555,58.5,55.75,22760.557837882,22760.550924024,0.006913858000189066
0.17476366460323334,0.05689871311187744,0.309,49.75,32.5,22782.32315738,22782.317791996,0.0053653840004699305
0.0895625650882721,0.31701236963272095,0.221,39.75,45.25,22793.151017437,22793.144892608,0.006124829000327736
0.5860734581947327,0.12512877583503723,0.3205,91.5,39.0,22801.927852288,22801.920384199,0.007468089002941269
