destination	source	size	classification
local/datasets/ir_foam_compression	datasets/ir_foam_compression	5.9G	IR
local/datasets/ir_grip_force_viability	datasets/ir_grip_force_viability	2.0G	IR
local/datasets/ir_hand_pressure_hysteresis	datasets/ir_hand_pressure_hysteresis	65M	IR
local/datasets/ir_hand_pressure_viability	datasets/ir_hand_pressure_viability	558M	IR
local/datasets/ir_hard_classifier	datasets/ir_hard_classifier	2.2G	IR
local/datasets/ir_raw_repeatability	datasets/ir_raw_repeatability	280M	IR
local/datasets/lepton_hard_pinch	datasets/lepton_hard_pinch	105M	IR
local/exports/ir_archive	exports/ir_archive	4.6G	IR
local/exports/ir_contact_null_vs_attempt05_claude_review_20260729	exports/ir_contact_null_vs_attempt05_claude_review_20260729	2.3M	IR
local/exports/ir_contact_null_vs_attempt05_claude_review_20260729.zip	exports/ir_contact_null_vs_attempt05_claude_review_20260729.zip	1.7M	IR
local/scratch_lepton/collect_runtime_datums.py	scratch_lepton/collect_runtime_datums.py	8.0K	IR
local/scratch_lepton/DISTORTION_FIX_PLAN.md	scratch_lepton/DISTORTION_FIX_PLAN.md	4.0K	IR
local/scratch_lepton/FISHEYE_RESULT_FOR_REVIEW.md	scratch_lepton/FISHEYE_RESULT_FOR_REVIEW.md	8.0K	IR
local/scratch_lepton/gptpro_final_review.md	scratch_lepton/gptpro_final_review.md	24K	IR
local/scratch_lepton/gptpro_fisheye_review.md	scratch_lepton/gptpro_fisheye_review.md	16K	IR
local/scratch_lepton/gptpro_planBrobust_review.md	scratch_lepton/gptpro_planBrobust_review.md	28K	IR
local/scratch_lepton/gptpro_refined_review.md	scratch_lepton/gptpro_refined_review.md	20K	IR
local/scratch_lepton/gptpro_stageplan_review.md	scratch_lepton/gptpro_stageplan_review.md	28K	IR
local/scratch_lepton/gptpro_v2_review.md	scratch_lepton/gptpro_v2_review.md	24K	IR
local/scratch_lepton/PLAN_B_RECAPTURE.md	scratch_lepton/PLAN_B_RECAPTURE.md	8.0K	IR
local/scratch_lepton/PLAN_B_ROBUST.md	scratch_lepton/PLAN_B_ROBUST.md	8.0K	IR
local/scratch_lepton/PLAN_FINAL_robust_extrinsic.md	scratch_lepton/PLAN_FINAL_robust_extrinsic.md	16K	IR
local/scratch_lepton/PLAN_refine_extrinsic.md	scratch_lepton/PLAN_refine_extrinsic.md	8.0K	IR
local/scratch_lepton/PLAN_STAGE_projector_for_review.md	scratch_lepton/PLAN_STAGE_projector_for_review.md	20K	IR
local/scratch_lepton/PLAN_v2_robust_extrinsic.md	scratch_lepton/PLAN_v2_robust_extrinsic.md	20K	IR
local/scratch_lepton/pv_crop.json	scratch_lepton/pv_crop.json	4.0K	IR
local/scratch_lepton/REFINED_RESULT_FOR_REVIEW.md	scratch_lepton/REFINED_RESULT_FOR_REVIEW.md	8.0K	IR
local/scratch_lepton/SB_DETECTOR_PLAN.md	scratch_lepton/SB_DETECTOR_PLAN.md	8.0K	IR
local/scratch_lepton/single_finger_surface_press_curve_01	scratch_lepton/single_finger_surface_press_curve_01	2.9G	IR
local/scratch_lepton/stage0b_runtime_datums.json	scratch_lepton/stage0b_runtime_datums.json	4.0K	IR
local/scratch_lepton/stage0b_thermal_orientation_20260727	scratch_lepton/stage0b_thermal_orientation_20260727	76K	IR
local/scratch_lepton/stage1c_live_shadow_20260727_attempt02.jsonl	scratch_lepton/stage1c_live_shadow_20260727_attempt02.jsonl	4.0K	IR
local/scratch_lepton/stage1c_live_shadow_20260727_attempt03.jsonl	scratch_lepton/stage1c_live_shadow_20260727_attempt03.jsonl	224K	IR
local/scratch_lepton/stage1c_live_shadow_20260727.jsonl	scratch_lepton/stage1c_live_shadow_20260727.jsonl	0	IR
local/scratch_lepton/stage1d_dynamic_skew_baseline01_20260727.jsonl	scratch_lepton/stage1d_dynamic_skew_baseline01_20260727.jsonl	4.0K	IR
local/scratch_lepton/stage1d_dynamic_skew_baseline02_20260727.jsonl	scratch_lepton/stage1d_dynamic_skew_baseline02_20260727.jsonl	100K	IR
local/scratch_lepton/stage1d_dynamic_skew_ffc_challenge_20260727_attempt02.jsonl	scratch_lepton/stage1d_dynamic_skew_ffc_challenge_20260727_attempt02.jsonl	100K	IR
local/scratch_lepton/stage1d_dynamic_skew_ffc_challenge_20260727.jsonl	scratch_lepton/stage1d_dynamic_skew_ffc_challenge_20260727.jsonl	40K	IR
local/scratch_lepton/stage1d_envelope_30cm_01.jsonl	scratch_lepton/stage1d_envelope_30cm_01.jsonl	304K	IR
local/scratch_lepton/stage1d_envelope_40cm_01.jsonl	scratch_lepton/stage1d_envelope_40cm_01.jsonl	232K	IR
local/scratch_lepton/stage1d_envelope_50cm_01.jsonl	scratch_lepton/stage1d_envelope_50cm_01.jsonl	340K	IR
local/scratch_lepton/stage1d_envelope_60cm_01.jsonl	scratch_lepton/stage1d_envelope_60cm_01.jsonl	356K	IR
local/scratch_lepton/stage1d_envelope_70cm_01.jsonl	scratch_lepton/stage1d_envelope_70cm_01.jsonl	300K	IR
local/scratch_lepton/stage1d_hand_shadow_floor_fresh_close01.jsonl	scratch_lepton/stage1d_hand_shadow_floor_fresh_close01.jsonl	384K	IR
local/scratch_lepton/stage1d_hand_shadow_floor_fresh_far01.jsonl	scratch_lepton/stage1d_hand_shadow_floor_fresh_far01.jsonl	440K	IR
local/scratch_lepton/stage1d_hand_shadow_floor_fresh_middle01.jsonl	scratch_lepton/stage1d_hand_shadow_floor_fresh_middle01.jsonl	396K	IR
local/scratch_lepton/stage1d_hand_shadow_inward_diag01.jsonl	scratch_lepton/stage1d_hand_shadow_inward_diag01.jsonl	420K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight01.jsonl	scratch_lepton/stage1d_hand_shadow_preflight01.jsonl	60K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight02.jsonl	scratch_lepton/stage1d_hand_shadow_preflight02.jsonl	64K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight03.jsonl	scratch_lepton/stage1d_hand_shadow_preflight03.jsonl	64K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight04.jsonl	scratch_lepton/stage1d_hand_shadow_preflight04.jsonl	136K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight05.jsonl	scratch_lepton/stage1d_hand_shadow_preflight05.jsonl	84K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight06.jsonl	scratch_lepton/stage1d_hand_shadow_preflight06.jsonl	60K	IR
local/scratch_lepton/stage1d_hand_shadow_preflight07.jsonl	scratch_lepton/stage1d_hand_shadow_preflight07.jsonl	92K	IR
local/scratch_lepton/stage1d_hand_shadow_sdk_parity_close01.jsonl	scratch_lepton/stage1d_hand_shadow_sdk_parity_close01.jsonl	580K	IR
local/scratch_lepton/stage1d_hand_shadow_sdk_parity_far01.jsonl	scratch_lepton/stage1d_hand_shadow_sdk_parity_far01.jsonl	252K	IR
local/scratch_lepton/stage1d_hand_shadow_sdk_parity_middle01.jsonl	scratch_lepton/stage1d_hand_shadow_sdk_parity_middle01.jsonl	480K	IR
local/scratch_lepton/stage1d_hand_shadow_trial01.jsonl	scratch_lepton/stage1d_hand_shadow_trial01.jsonl	4.0K	IR
local/scratch_lepton/stage1d_hand_shadow_trial02.jsonl	scratch_lepton/stage1d_hand_shadow_trial02.jsonl	316K	IR
local/scratch_lepton/stage1d_hand_shadow_trial03.jsonl	scratch_lepton/stage1d_hand_shadow_trial03.jsonl	564K	IR
local/scratch_lepton/stage1d_refined_xml_independent_34_36_20260727.json	scratch_lepton/stage1d_refined_xml_independent_34_36_20260727.json	8.0K	IR
local/scratch_lepton/stage1e_tip_pinch_contact_null_01	scratch_lepton/stage1e_tip_pinch_contact_null_01	982M	IR
local/scratch_lepton/stage1e_tip_pinch_signal_01.log	scratch_lepton/stage1e_tip_pinch_signal_01.log	4.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_02.jsonl	scratch_lepton/stage1e_tip_pinch_signal_02.jsonl	1.3M	IR
local/scratch_lepton/stage1e_tip_pinch_signal_02.log	scratch_lepton/stage1e_tip_pinch_signal_02.log	8.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_03.jsonl	scratch_lepton/stage1e_tip_pinch_signal_03.jsonl	2.0M	IR
local/scratch_lepton/stage1e_tip_pinch_signal_03.log	scratch_lepton/stage1e_tip_pinch_signal_03.log	8.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_03_summary.json	scratch_lepton/stage1e_tip_pinch_signal_03_summary.json	4.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_04.jsonl	scratch_lepton/stage1e_tip_pinch_signal_04.jsonl	1.5M	IR
local/scratch_lepton/stage1e_tip_pinch_signal_04.log	scratch_lepton/stage1e_tip_pinch_signal_04.log	4.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_04_summary.json	scratch_lepton/stage1e_tip_pinch_signal_04_summary.json	4.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_05.jsonl	scratch_lepton/stage1e_tip_pinch_signal_05.jsonl	1.9M	IR
local/scratch_lepton/stage1e_tip_pinch_signal_05.log	scratch_lepton/stage1e_tip_pinch_signal_05.log	8.0K	IR
local/scratch_lepton/stage1e_tip_pinch_signal_05_summary.json	scratch_lepton/stage1e_tip_pinch_signal_05_summary.json	40K	IR
local/calibration_runs	thermal-project-calibration-runs/	1.2M	IR
